stockcode,description,total_quantity,total_revenue,total_orders,unique_customers,description_clean
16151A,FLOWERS HANDBAG blue and orange,49,61.25,3,3,flowers handbag blue and orange
16156L,WRAP CAROUSEL,375,157.5,14,13,wrap carousel
16156L,"WRAP, CAROUSEL",575,241.5,22,20,wrap carousel
16156N,"WRAP, FRIENDSHIP ON GREEN",1450,609.0,55,51,wrap friendship on green
16156S,WRAP PINK FAIRY CAKES ,16686,6569.12,417,271,wrap pink fairy cakes
16161C,WRAP SPEED DEMONS ,450,45.0,2,2,wrap speed demons
16161E,WRAP BOUDOIR ,750,75.0,9,8,wrap boudoir
16161G,WRAP BAD HAIR DAY,975,97.5,33,31,wrap bad hair day
16161M,WRAP  PINK FLOCK,1075,449.5,39,36,wrap pink flock
16161P,WRAP ENGLISH ROSE ,13298,5477.4,440,289,wrap english rose
16161U,WRAP SUKI AND FRIENDS,6726,2742.92,208,148,wrap suki and friends
16161U,"WRAP,SUKI AND FRIENDS",3325,1352.5,109,86,wrap suki and friends
16162L,THE KING GIFT BAG,8083,553.79,17,16,the king gift bag
16162M,THE KING GIFT BAG 25x24x12cm,86,36.12,12,10,the king gift bag 25x24x12cm
16168M,FUNKY MONKEY GIFT BAG MEDIUM,1602,435.24,53,42,funky monkey gift bag medium
16168S,FUNKY MONKEY GIFT BAG SMALL,1274,121.86,7,4,funky monkey gift bag small
16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,1,1,wrap christmas decoupage
16169C,WRAP BLUE REINDEER,1350,567.0,43,42,wrap blue reindeer
16169D,WRAP WINTER FOREST,250,105.0,9,9,wrap winter forest
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,149,143,wrap 50 s christmas
16169F,WRAP BLIZZARD,975,409.5,34,34,wrap blizzard
16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,1,1,wrap romantic decoupage
16169K,WRAP FOLK ART,2075,658.75,59,56,wrap folk art
16169M,WRAP DAISY CARPET ,2060,640.95,59,56,wrap daisy carpet
16169N,WRAP BLUE RUSSIAN FOLKART,2050,636.75,56,52,wrap blue russian folkart
16169P,WRAP GREEN RUSSIAN FOLKART ,1750,533.75,48,46,wrap green russian folkart
16201A,PASTEL PINK PHOTO ALBUM,100,199.8,8,7,pastel pink photo album
16201B,PASTEL BLUE PHOTO ALBUM,24,46.8,2,2,pastel blue photo album
16202A,PASTEL PINK PHOTO ALBUM ,661,272.0,19,16,pastel pink photo album
16202B,PASTEL BLUE PHOTO ALBUM ,1034,469.21,18,13,pastel blue photo album
16202C,BEIGE PHOTO ALBUM,94,201.29999999999998,10,10,beige photo album
16202E,BLACK PHOTO ALBUM ,81,150.6,13,12,black photo album
16206B,RED PURSE WITH PINK HEART,96,116.4,16,14,red purse with pink heart
16207A,PINK STRAWBERRY HANDBAG ,55,162.25000000000003,19,17,pink strawberry handbag
16207B,PINK HEART RED HANDBAG,211,315.96000000000004,13,12,pink heart red handbag
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,237.9,30,29,funky girlz asst magnetic memo pad
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,3,3,funky girlz magnetic to do list
16216,LETTER SHAPE PENCIL SHARPENER,4135,358.18,78,69,letter shape pencil sharpener
16218,CARTOON  PENCIL SHARPENERS,4525,375.6,70,60,cartoon pencil sharpeners
16219,HOUSE SHAPE PENCIL SHARPENER,3206,371.01,66,58,house shape pencil sharpener
16225,RATTLE SNAKE EGGS,1423,1082.39,112,90,rattle snake eggs
16235,RECYCLED PENCIL WITH RABBIT ERASER,5176,1050.06,160,124,recycled pencil with rabbit eraser
16236,KITTY PENCIL ERASERS,2425,503.65,143,108,kitty pencil erasers
16237,SLEEPING CAT ERASERS,10254,2051.34,340,209,sleeping cat erasers
16238,PARTY TIME PENCIL ERASERS,2291,481.81,135,104,party time pencil erasers
16239,BALLERINA HEART DECORATION.,338,468.4,13,13,ballerina heart decoration
16243B,BROWN COZY SQUARE PHOTO ALBUM,205,399.75,1,1,brown cozy square photo album
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,142,293.0,6,6,maxwell 2 tone pink 60 page photo a
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,309,612.85,8,8,maxwell 2 tone blue 60 page photo a
16245A,PINK MINI STATIONERY SET W CASE,11,13.75,7,7,pink mini stationery set w case
16248B,BLUE HOLE PUNCH,82,102.5,12,12,blue hole punch
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,912,258.36,19,17,transparent acrylic tape dispenser
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,493,207.06,20,17,flower pencil rubber 5 mini pencils
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,169,70.98,10,8,hearts pencil rubber 5 mini pencils
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1040,353.07,74,58,swirly circular rubbers in bag
16258B,DAISY ERASERS IN BAG,1015,219.76,13,13,daisy erasers in bag
16259,PIECE OF CAMO STATIONERY SET,5473,766.09,55,46,piece of camo stationery set
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1211,299.34999999999997,23,20,heavens scent fragrance oils asstd
17003,BROCADE RING PURSE ,71129,14827.71,387,215,brocade ring purse
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,46,96.60000000000001,6,6,s 3 pot pouri cushions blue colours
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,254,150.0,6,6,origami vanilla incense flower
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001,2,2,origami jasmine incense flower
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,334,217.1,1,1,origami lavender incense flower
17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3,2,2,origami rose incense flower
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001,1,1,origami opium scent incense flower
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,380,315.15,15,15,origami sandlewood incense flower
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,644,586.6,34,30,origami vanilla incense candle set
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,617,590.8499999999999,48,43,origami jasmine incense candle set
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,778,749.8,56,47,origami lavender incense candl set
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,428,430.09999999999997,51,41,origami rose incense candle set
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,264,248.39999999999998,12,12,origami opium incense candle set
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,493,451.45,47,38,origami sandlewood incense cand set
17013B,ORIGAMI JASMINE INCENSE IN TUBE,255,217.6,2,2,origami jasmine incense in tube
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,2,2,origami lavender incense in tube
17013D,ORIGAMI ROSE INCENSE IN TUBE,1048,515.46,21,17,origami rose incense in tube
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,61,25.05,4,4,origami sandlewood incense in tube
17014A,ORIGAMI VANILLA INCENSE CONES,247,111.81,9,9,origami vanilla incense cones
17014C,ORIGAMI LAVENDER INCENSE CONES,96,40.32,1,1,origami lavender incense cones
17014D,ORIGAMI ROSE INCENSE CONES,476,194.28,5,5,origami rose incense cones
17014E,ORIGAMI OPIUM INCENSE CONES,93,33.3,4,4,origami opium incense cones
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,61,23.699999999999996,4,4,origami sandlewood incense cones
17021,NAMASTE SWAGAT INCENSE,4430,1161.24,75,45,namaste swagat incense
17027A,INCENSE BAZAAR CANNABIS,228,84.84,2,1,incense bazaar cannabis
17028J,INCENSE BAZAAR PEACH,6,2.52,1,1,incense bazaar peach
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3279,867.55,68,58,brocade purse small arch button
17038,PORCELAIN BUDAH INCENSE HOLDER,2624,232.4,30,21,porcelain budah incense holder
17039,INLAID WOOD INCENSE HOLDER,3641,813.0899999999999,30,20,inlaid wood incense holder
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1,1,assorted shaped stencil for henna
17084A,TRANQUILITY MASALA INCENSE,442,92.82,18,14,tranquility masala incense
17084G,MOON INCENSE,50,10.5,2,2,moon incense
17084J,LOVE POTION MASALA INCENSE,479,100.59,19,17,love potion masala incense
17084N,FAIRY DREAMS INCENSE ,2416,491.11,67,42,fairy dreams incense
17084P,DRAGONS BLOOD INCENSE,924,184.04,26,23,dragons blood incense
17084R,ASSORTED INCENSE PACK,12137,2213.97,66,29,assorted incense pack
17090A,LAVENDER INCENSE 40 CONES IN TIN,215,220.75,26,24,lavender incense 40 cones in tin
17090D,VANILLA INCENSE 40 CONES IN TIN,95,113.95,28,21,vanilla incense 40 cones in tin
17091A,LAVENDER INCENSE IN TIN,2084,1268.53,110,78,lavender incense in tin
17091B,JASMINE TEA INCENSE IN TIN,270,294.3,43,35,jasmine tea incense in tin
17091F,SANDALWOOD INCENSE IN TIN,16,20.0,6,6,sandalwood incense in tin
17091J,VANILLA INCENSE IN TIN,4052,2213.32,161,108,vanilla incense in tin
17096,ASSORTED LAQUERED INCENSE HOLDERS,6159,1082.0700000000002,35,25,assorted laquered incense holders
17107D,FLOWER FAIRY 5 DRAWER LINERS,60,153.0,20,18,flower fairy 5 drawer liners
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.3,1,1,flower fairy 5 summer draw liners
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",261,665.55,61,52,flower fairy 5 summer b draw liners
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,149.1,23,17,flower fairy summer bouquet sachet
17109A,FLOWER FAIRY INCENSE LILY,709,333.61,13,12,flower fairy incense lily
17109B,FLOWER FAIRY INCENSE LAVENDER,4541,892.91,16,13,flower fairy incense lavender
17109C,FLOWER FAIRY INCENSE ROSE,3124,661.23,15,13,flower fairy incense rose
17109D,FLOWER FAIRY INCENSE BOUQUET,1256,589.94,36,33,flower fairy incense bouquet
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,85,57.129999999999995,10,7,sky blue colour glass gems in bag
17129D,CLEAR COLOUR GLASS GEMS IN BAG,518,344.53999999999996,19,12,clear colour glass gems in bag
17129F,BLUE GLASS GEMS IN BAG,624,418.38,25,14,blue glass gems in bag
17129F,DEEP BLUE GLASS GEMS IN BAG,316,208.12,16,8,deep blue glass gems in bag
17136A,BLUE STONES ON WIRE FOR CANDLE,795,65.94,34,28,blue stones on wire for candle
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,1596,638.28,80,64,ass col small sand gecko p weight
17164D,ASS COL SMALL SAND FROG P'WEIGHT,1147,445.74,27,26,ass col small sand frog p weight
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,812,753.78,56,43,ass col large sand gecko p weight
17165D,ASS COL LARGE SAND FROG P'WEIGHT,723,689.67,89,62,ass col large sand frog p weight
17174,ASSTD RASTA KEY-CHAINS,36,15.120000000000001,7,7,asstd rasta key chains
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,24,20,flat palm t light holder
17181,CIRCLE OF FRIENDS CANDLE HOLDER,295,344.25,28,26,circle of friends candle holder
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33,123.75,12,9,rose flower candle incense 16x16cm
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11361,1021.86,51,40,essential balm 3 5g tin in envelope
18010,ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,6,6,assorted fragrance bath confetti
18094C,WHITE AND BLUE CERAMIC OIL BURNER,325,367.85,39,21,white and blue ceramic oil burner
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,20,25.0,4,3,white blue rect ceramic oil burner
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,112,256.8,13,12,white round porcelain tlight holder
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,19,48.449999999999996,12,10,pink tall porcelain t light holder
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.849999999999998,3,3,blue tall porcelain t light holder
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1588,3431.4,159,110,white tall porcelain t light holder
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2,2,pink porcelain b fly oil burner
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,8.850000000000001,3,3,blue porcelain b fly oil burner
18098C,PORCELAIN BUTTERFLY OIL BURNER,1156,2930.2000000000003,177,104,porcelain butterfly oil burner
20615,BLUE POLKADOT PASSPORT COVER,240,252.24,40,32,blue polkadot passport cover
20615,BLUE SPOTTY PASSPORT COVER,222,341.2,38,32,blue spotty passport cover
20616,CHERRY BLOSSOM PASSPORT COVER,190,240.38,44,31,cherry blossom passport cover
20617,FIRST CLASS PASSPORT COVER ,452,863.88,74,59,first class passport cover
20618,QUEEN OF THE SKIES PASSPORT COVER ,195,404.58000000000004,74,50,queen of the skies passport cover
20619,TROPICAL PASSPORT COVER ,374,568.4300000000001,68,46,tropical passport cover
20620,RED SPOTTY PASSPORT COVER,1,2.1,1,1,red spotty passport cover
20621,ECONOMY PASSPORT COVER ,200,420.0,29,23,economy passport cover
20622,VIP PASSPORT COVER ,35,73.5,11,8,vip passport cover
20622,VIPPASSPORT COVER ,492,849.08,71,54,vippassport cover
20652,BLUE POLKADOT LUGGAGE TAG ,164,212.26,45,34,blue polkadot luggage tag
20652,BLUE SPOTTY LUGGAGE TAG ,1058,488.5,44,40,blue spotty luggage tag
20653,CHERRY BLOSSOM LUGGAGE TAG,1927,428.89,31,26,cherry blossom luggage tag
20654,FIRST CLASS LUGGAGE TAG ,341,417.13,84,65,first class luggage tag
20655,QUEEN OF SKIES LUGGAGE TAG,269,327.27,91,55,queen of skies luggage tag
20657,TROPICAL LUGGAGE TAG,1694,536.64,71,54,tropical luggage tag
20658,RED RETROSPOT LUGGAGE TAG,483,603.75,98,72,red retrospot luggage tag
20658,RED SPOTTY LUGGAGE TAG,882,1097.94,125,96,red spotty luggage tag
20659,ECONOMY LUGGAGE TAG,292,387.06,89,55,economy luggage tag
20660,VIP LUGGAGE TAG ,73,91.25,26,22,vip luggage tag
20661,BLUE POLKADOT PURSE ,355,221.77,12,9,blue polkadot purse
20661,BLUE SPOTTY PURSE ,434,446.30000000000007,30,29,blue spotty purse
20662,FIRST CLASS HOLIDAY PURSE ,697,394.27000000000004,25,23,first class holiday purse
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1037,277.19,15,13,queen of the skies holiday purse
20664,TROPICAL HOLIDAY PURSE ,31,91.45000000000002,16,11,tropical holiday purse
20665,RED RETROSPOT PURSE ,488,1430.0000000000002,99,78,red retrospot purse
20665,RED SPOTTY PURSE ,699,2054.8500000000004,123,100,red spotty purse
20666,ECONOMY HOLIDAY PURSE,871,340.65000000000003,22,22,economy holiday purse
20667,CHERRY BLOSSOM PURSE,21,61.95,9,6,cherry blossom purse
20668,DISCO BALL CHRISTMAS DECORATION,21496,2399.8,309,181,disco ball christmas decoration
20669,RED HEART LUGGAGE TAG,648,807.72,132,103,red heart luggage tag
20670,VIP HOLIDAY PURSE,664,296.48,22,20,vip holiday purse
20671,BLUE TEATIME PRINT BOWL ,742,913.82,106,70,blue teatime print bowl
20672,PINK TEATIME PRINT BOWL,116,145.0,22,21,pink teatime print bowl
20673,STRAWBERRIES PRINT BOWL,5,6.25,2,2,strawberries print bowl
20674,GREEN POLKADOT BOWL,1634,1975.31,184,118,green polkadot bowl
20674,GREEN SPOTTY BOWL,1509,1831.53,176,119,green spotty bowl
20675,BLUE POLKADOT BOWL,3223,3770.04,275,180,blue polkadot bowl
20675,BLUE SPOTTY BOWL,2700,3197.16,258,157,blue spotty bowl
20676,RED RETROSPOT BOWL,5214,6056.01,375,227,red retrospot bowl
20676,RED SPOTTY BOWL,4384,5147.12,345,212,red spotty bowl
20677,PINK POLKADOT BOWL,3673,4271.400000000001,279,163,pink polkadot bowl
20677,PINK SPOTTY BOWL,3342,3903.9,266,161,pink spotty bowl
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,1,large black diamante hairslide
20679,EDWARDIAN PARASOL RED,6134,29140.670000000002,622,271,edwardian parasol red
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,4,4,pink flowers childs umbrella
20681,PINK POLKADOT CHILDRENS UMBRELLA,371,1199.75,99,82,pink polkadot childrens umbrella
20681,PINK SPOTTY CHILDS UMBRELLA,956,3014.0,175,127,pink spotty childs umbrella
20682,RED RETROSPOT CHILDRENS UMBRELLA,1507,4816.41,265,190,red retrospot childrens umbrella
20682,RED SPOTTY CHILDS UMBRELLA,1431,4467.75,213,153,red spotty childs umbrella
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,1,1,rain girl childs umbrella
20684,STRAWBERRY DREAM CHILDS UMBRELLA,562,1787.5,157,117,strawberry dream childs umbrella
20685,DOOR MAT RED SPOT,2427,15100.97,369,245,door mat red spot
20685,DOORMAT RED RETROSPOT,4985,33132.45,758,416,doormat red retrospot
20685,DOORMAT RED SPOT,1035,7050.21,187,159,doormat red spot
20685,RED SPOTTY COIR DOORMAT,1098,6545.5,164,132,red spotty coir doormat
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,571,1850.13,160,117,dolly mixture children s umbrella
20688,BEAUTY SPEED EXPRESSO CUPS,462,306.9,9,9,beauty speed expresso cups
20689,RETRO SISTERS EXPRESSO CUPS,401,441.95000000000005,27,25,retro sisters expresso cups
20692,FLORAL ELEPHANT SOFT TOY,883,3451.25,116,75,floral elephant soft toy
20693,FLORAL DINOSAUR GREEN,26,110.5,12,10,floral dinosaur green
20694,FLORAL PINK MONSTER,113,412.23,25,23,floral pink monster
20695,FLORAL BLUE MONSTER,83,336.25,26,24,floral blue monster
20696,FLORAL SOFT CAR TOY,123,461.25,34,28,floral soft car toy
20697,LITTLE GREEN MONSTER SOFT TOY,41,99.14999999999999,19,17,little green monster soft toy
20698,LITTLE PINK MONSTER SOFT TOY,43,104.25,18,17,little pink monster soft toy
20699,MOUSEY LONG LEGS SOFT TOY,210,524.7,45,42,mousey long legs soft toy
20700,GREEN CAT FLORAL CUSHION COVER ,288,420.0,12,11,green cat floral cushion cover
20701,PINK CAT FLORAL CUSHION COVER ,282,397.5,13,12,pink cat floral cushion cover
20702,PINK PADDED MOBILE,779,3267.25,237,151,pink padded mobile
20703,BLUE PADDED SOFT MOBILE,463,1955.25,165,122,blue padded soft mobile
20704,MR ROBOT SOFT TOY,345,1200.95,64,60,mr robot soft toy
20705,MRS ROBOT SOFT TOY,269,972.5500000000001,49,47,mrs robot soft toy
20707,CRAZY DAISY HEART DECORATION,1281,916.62,63,48,crazy daisy heart decoration
20711,JUMBO BAG TOYS ,11469,20532.63,671,326,jumbo bag toys
20712,JUMBO BAG WOODLAND ANIMALS,15929,29504.5,915,387,jumbo bag woodland animals
20713,JUMBO BAG OWLS,19832,35822.62,920,371,jumbo bag owls
20714,POSY SHOPPER BAG,1513,586.25,12,10,posy shopper bag
20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1,1,little flower shopper bag
20716,PARTY FOOD SHOPPER BAG,1396,1710.8,169,121,party food shopper bag
20717,STRAWBERRY SHOPPER BAG,5371,6398.53,500,283,strawberry shopper bag
20718,RED RETROSPOT SHOPPER BAG,5676,6747.31,469,280,red retrospot shopper bag
20718,RED SPOTTY SHOPPER BAG,6660,7713.2,397,237,red spotty shopper bag
20719,WOODLAND CHARLOTTE BAG,19288,15235.59,1062,365,woodland charlotte bag
20721,OWLS CHARLOTTE BAG,1,0.85,1,1,owls charlotte bag
20723,STRAWBERRY CHARLOTTE BAG,14654,11750.0,988,356,strawberry charlotte bag
20724,RED RETROSPOT CHARLOTTE BAG,15314,12158.9,908,390,red retrospot charlotte bag
20724,RED SPOTTY CHARLOTTE BAG,10685,8499.85,587,282,red spotty charlotte bag
20725,LUNCH BAG RED RETROSPOT,20800,32940.4,1520,605,lunch bag red retrospot
20725,LUNCH BAG RED SPOTTY,17514,27331.3,1059,499,lunch bag red spotty
20726,LUNCH BAG WOODLAND,21115,33333.11,1585,585,lunch bag woodland
20727,LUNCH BAG  BLACK SKULL.,25820,40586.2,1997,705,lunch bag black skull
20728,LUNCH BAG CARS BLUE,23575,37071.43,1797,702,lunch bag cars blue
20729,RED SPOTTY CANDY BAG,4626,1154.9,67,39,red spotty candy bag
20730,STRAWBERRY CANDY BAG,1659,524.25,41,34,strawberry candy bag
20731,POSY CANDY BAG,4101,1180.25,46,40,posy candy bag
20733,GOLD MINI TAPE MEASURE ,1564,1139.0,101,67,gold mini tape measure
20734,SILVER MINI TAPE MEASURE ,1379,1079.85,68,50,silver mini tape measure
20735,BLACK MINI TAPE MEASURE ,829,592.25,63,30,black mini tape measure
20736,PINK MINI TAPE MEASURE ,287,230.95,18,18,pink mini tape measure
20738,GREEN MINI TAPE MEASURE ,1585,1270.55,65,46,green mini tape measure
20747,PICCADILLY TEA SET,310,4227.5,70,48,piccadilly tea set
20748,KENSINGTON COFFEE SET,363,3422.25,114,86,kensington coffee set
20749,ASSORTED COLOUR MINI CASES,3060,21830.84,726,426,assorted colour mini cases
20750, RED/WHITE DOT MINI CASES,479,3536.13,138,113,red white dot mini cases
20750,RED RETROSPOT MINI CASES,2103,15162.05,479,307,red retrospot mini cases
20750,RED/WHITE DOT MINI CASES,1112,7883.599999999999,250,172,red white dot mini cases
20751,FUNKY WASHING UP GLOVES ASSORTED,2834,5857.92,408,264,funky washing up gloves assorted
20752,BLUE POLKADOT WASHING UP GLOVES,499,1047.9,156,117,blue polkadot washing up gloves
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,846,1326.6000000000001,114,93,retro blue spotty washing up gloves
20753,RETRO PINK SPOT WASHING UP GLOVES,187,391.1,38,30,retro pink spot washing up gloves
20754,RETRO RED SPOTTY WASHING UP GLOVES,3012,5749.56,338,212,retro red spotty washing up gloves
20754,RETROSPOT RED WASHING UP GLOVES,1854,3686.76,341,208,retrospot red washing up gloves
20755,BLUE PAISLEY POCKET BOOK,5099,1043.75,86,74,blue paisley pocket book
20756,GREEN FERN POCKET BOOK,5685,821.8499999999999,44,40,green fern pocket book
20757,RED DAISY POCKET BOOK ,5329,880.03,55,49,red daisy pocket book
20758,ABSTRACT CIRCLES POCKET BOOK,5394,934.5,74,61,abstract circles pocket book
20759,CHRYSANTHEMUM POCKET BOOK ,5739,867.75,44,35,chrysanthemum pocket book
20760,GARDEN PATH POCKET BOOK,5489,1274.45,59,47,garden path pocket book
20761,BLUE PAISLEY SKETCHBOOK,423,1244.87,116,93,blue paisley sketchbook
20762,GREEN FERN SKETCHBOOK ,422,1194.21,111,88,green fern sketchbook
