stockcode,description,sales_amount
48138,DOORMAT UNION FLAG,40720.3
21232,STRAWBERRY CERAMIC TRINKET BOX,40675.38
20727,LUNCH BAG  BLACK SKULL.,40586.2
22502,PICNIC BASKET WICKER 60 PIECES,39619.5
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,37966.840000000004
82482,WOODEN PICTURE FRAME WHITE FINISH,37679.600000000006
21166,COOK WITH WINE METAL SIGN ,37387.49
20728,LUNCH BAG CARS BLUE,37071.43
22629,SPACEBOY LUNCH BOX ,36862.29
22114,HOT WATER BOTTLE TEA AND SYMPATHY,36269.270000000004
84078A,SET/4 WHITE RETRO STORAGE CUBES ,36259.65
23284,DOORMAT KEEP CALM AND COME IN,35913.85
85066,CREAM SWEETHEART MINI CHEST,35889.479999999996
20713,JUMBO BAG OWLS,35822.62
48194,DOORMAT HEARTS,35815.2
23298,SPOTTY BUNTING,35539.25
84029E,RED WOOLLY HOTTIE WHITE HEART.,35261.07
22960,JAM MAKING SET WITH JARS,34851.72
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8
20726,LUNCH BAG WOODLAND,33333.11
22197,SMALL POPCORN HOLDER,33329.68
20685,DOORMAT RED RETROSPOT,33132.45
22699,ROSES REGENCY TEACUP AND SAUCER ,33096.0
20725,LUNCH BAG RED RETROSPOT,32940.4
22188,BLACK HEART CARD HOLDER,32379.54
21755,LOVE BUILDING BLOCK WORD,32325.16
48187,DOORMAT NEW ENGLAND,32221.33
22727,ALARM CLOCK BAKELIKE RED ,31993.09
82486,WOOD S/3 CABINET ANT WHITE FINISH,31557.8
22630,DOLLY GIRL LUNCH BOX,31443.489999999998
85152,HAND OVER THE CHOCOLATE   SIGN ,31138.050000000003
22382,LUNCH BAG SPACEBOY DESIGN ,30463.35
21523,DOORMAT FANCY FONT HOME SWEET HOME,30453.78
22385,JUMBO BAG SPACEBOY DESIGN,30096.57
22622,BOX OF VINTAGE ALPHABET BLOCKS,29731.56
20712,JUMBO BAG WOODLAND ANIMALS,29504.5
22865,HAND WARMER OWL DESIGN,29433.430000000004
48185,DOORMAT FAIRY CAKE,29323.2
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29150.02
20679,EDWARDIAN PARASOL RED,29140.670000000002
15036,ASSORTED COLOURS SILK FAN,28829.32
47590B,PINK HAPPY BIRTHDAY BUNTING,28793.95
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28548.7
22379,RECYCLING BAG RETROSPOT ,28377.08
22659,LUNCH BOX I LOVE LONDON,28119.82
22752,SET 7 BABUSHKA NESTING BOXES,28023.09
22139,RETROSPOT TEA SET CERAMIC 11 PC ,27806.93
22666,RECIPE BOX PANTRY YELLOW DESIGN,27804.370000000003
21928,JUMBO BAG SCANDINAVIAN PAISLEY,27707.95
22077,6 RIBBONS RUSTIC CHARM,27457.34
20725,LUNCH BAG RED SPOTTY,27331.3
22492,MINI PAINT SET VINTAGE ,27120.489999999998
22467,GUMBALL COAT RACK,27051.530000000002
21977,PACK OF 60 PINK PAISLEY CAKE CASES,26733.45
23245,SET OF 3 REGENCY CAKE TINS,26625.68
72741,GRAND CHOCOLATECANDLE,26508.95
23199,JUMBO BAG APPLES,26451.260000000002
84991,60 TEATIME FAIRY CAKE CASES,26121.57
22726,ALARM CLOCK BAKELIKE GREEN,25900.21
22866,HAND WARMER SCOTTY DOG DESIGN,25251.36
22867,HAND WARMER BIRD DESIGN,25071.13
22624,IVORY KITCHEN SCALES,24946.68
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24905.87
22149,FELTCRAFT 6 FLOWER FRIENDS,24656.19
22386,JUMBO BAG PINK WITH WHITE SPOTS,24472.05
23355,HOT WATER BOTTLE KEEP CALM,24426.3
47566B,TEA TIME PARTY BUNTING,24414.3
85099B,JUMBO BAG RED WHITE SPOTTY ,24345.3
21485,RETROSPOT HEART HOT WATER BOTTLE,24336.98
48138,DOOR MAT UNION FLAG,24253.68
22697,GREEN REGENCY TEACUP AND SAUCER,24191.590000000004
23201,JUMBO BAG ALPHABET,24175.0
20972,PINK CREAM FELT CRAFT TRINKET BOX ,24108.77
22507,MEMO BOARD RETROSPOT  DESIGN,23985.32
20971,PINK BLUE FELT CRAFT TRINKET BOX,23975.69
47590A,BLUE HAPPY BIRTHDAY BUNTING,23905.670000000002
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,23848.11
37503,TEA TIME CAKE STAND IN GIFT BOX,23827.8
84836,ZINC METAL HEART DECORATION,23815.18
22158,3 HEARTS HANGING DECORATION RUSTIC,23768.81
22551,PLASTERS IN TIN SPACEBOY,23736.149999999998
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,23534.52
22197,POPCORN HOLDER,23427.71
22961,JAM MAKING SET PRINTED,23416.449999999997
82583,HOT BATHS METAL SIGN,23390.22
71459,HANGING JAM JAR T-LIGHT HOLDER,23239.43
21930,JUMBO STORAGE BAG SKULLS,23232.89
22084,PAPER CHAIN KIT EMPIRE,23182.7
23173,REGENCY TEAPOT ROSES ,23073.32
21481,FAWN BLUE HOT WATER BOTTLE,22658.2
22383,LUNCH BAG SUKI  DESIGN ,22600.4
84946,ANTIQUE SILVER TEA GLASS ETCHED,22588.36
82600,NO SINGING METAL SIGN,22510.56
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,22435.18
84978,HANGING HEART JAR T-LIGHT HOLDER,22321.06
22835,HOT WATER BOTTLE I AM SO POORLY,22266.63
21212,PACK OF 72 RETROSPOT CAKE CASES,22214.26
21231,SWEETHEART CERAMIC TRINKET BOX,22152.0
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22133.829999999998
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,22057.21
22113,GREY HEART HOT WATER BOTTLE,22032.62
84406B,CREAM CUPID HEARTS COAT HANGER,21989.9
22728,ALARM CLOCK BAKELIKE PINK,21917.48
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,21914.02
21212,PACK OF 72 RETRO SPOT CAKE CASES,21853.079999999998
20749,ASSORTED COLOUR MINI CASES,21830.84
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,21514.48
22087,PAPER BUNTING WHITE LACE,21495.65
22556,PLASTERS IN TIN CIRCUS PARADE ,21288.41
22090,PAPER BUNTING RETROSPOT,21218.140000000003
22607,WOODEN ROUNDERS GARDEN SET ,21177.27
22969,HOMEMADE JAM SCENTED CANDLES,21020.8
22605,WOODEN CROQUET GARDEN SET,21003.309999999998
23202,JUMBO BAG VINTAGE LEAF,20963.93
21314,SMALL GLASS HEART TRINKET POT,20903.86
22554,PLASTERS IN TIN WOODLAND ANIMALS,20879.23
22585,PACK OF 6 BIRDY GIFT TAGS,20854.88
22090,PAPER BUNTING RETRO SPOTS,20735.050000000003
23203,JUMBO BAG VINTAGE DOILY ,20674.68
48184,DOORMAT ENGLISH ROSE ,20628.04
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20553.7
20711,JUMBO BAG TOYS ,20532.63
37449,CERAMIC CAKE STAND + HANGING CAKES,20531.28
21790,VINTAGE SNAP CARDS,20458.79
22698,PINK REGENCY TEACUP AND SAUCER,20444.690000000002
22617,BAKING SET SPACEBOY DESIGN,20335.11
22941,CHRISTMAS LIGHTS 10 REINDEER,20279.4
22294,HEART FILIGREE DOVE  SMALL,20234.1
21791,VINTAGE HEADS AND TAILS CARD GAME ,20204.53
84970S,HANGING HEART ZINC T-LIGHT HOLDER,20113.02
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,19965.82
22625,RED KITCHEN SCALES,19926.53
22570,FELTCRAFT CUSHION RABBIT,19892.66
22568,FELTCRAFT CUSHION OWL,19848.46
22083,PAPER CHAIN KIT RETRO SPOT,19813.4
21524,DOORMAT SPOTTY HOME SWEET HOME,19750.97
22569,FELTCRAFT CUSHION BUTTERFLY,19586.68
22273,FELTCRAFT DOLL MOLLY,19480.43
48188,DOORMAT WELCOME PUPPIES,19301.36
85150,LADIES & GENTLEMEN METAL SIGN,19220.28
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,19091.7
22413,METAL SIGN TAKE IT OR LEAVE IT ,19045.920000000002
22558,CLOTHES PEGS RETROSPOT PACK 24 ,19029.01
22501,PICNIC BASKET WICKER LARGE,18943.5
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,18828.98
22633,HAND WARMER UNION JACK,18807.960000000003
21622,VINTAGE UNION JACK CUSHION COVER,18723.17
22384,LUNCH BAG PINK POLKADOT,18565.05
21213,PACK OF 72 SKULL CAKE CASES,18517.13
84949,SILVER HANGING T-LIGHT HOLDER,18517.05
21908,CHOCOLATE THIS WAY METAL SIGN,18394.640000000003
22499,WOODEN UNION JACK BUNTING,18322.68
21479,WHITE SKULL HOT WATER BOTTLE ,18319.2
23206,LUNCH BAG APPLE DESIGN,18278.25
22555,PLASTERS IN TIN STRONGMAN,18240.29
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,18185.06
22561,WOODEN SCHOOL COLOURING SET,18082.32
21174,POTTERING IN THE SHED METAL SIGN,17977.82
22456,NATURAL SLATE CHALKBOARD LARGE ,17795.56
22147,FELTCRAFT BUTTERFLY HEARTS,17689.3
23344,JUMBO BAG 50'S CHRISTMAS ,17679.72
22427,ENAMEL FLOWER JUG CREAM,17667.58
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17616.12
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,17543.0
22061,LARGE CAKE STAND  HANGING STRAWBERY,17533.95
21936,RED RETROSPOT PICNIC BAG,17519.01
22560,TRADITIONAL MODELLING CLAY,17279.14
21136,PAINTED METAL PEARS ASSORTED,17169.46
22169,FAMILY ALBUM WHITE PICTURE FRAME,17040.74
22505,MEMO BOARD COTTAGE DESIGN,16812.74
22847,BREAD BIN DINER STYLE IVORY,16779.34
22632,HAND WARMER RED RETROSPOT,16768.02
23203,JUMBO BAG DOILEY PATTERNS,16741.260000000002
21527,RED RETROSPOT TRADITIONAL TEAPOT ,16520.64
21218,RED SPOTTY BISCUIT TIN,16513.95
84992,72 SWEETHEART FAIRY CAKE CASES,16475.22
22297,HEART IVORY TRELLIS SMALL,16140.34
22083,PAPER CHAIN KIT RETROSPOT,16111.460000000001
21164,HOME SWEET HOME METAL SIGN ,16103.84
71053,WHITE METAL LANTERN,16058.44
22557,PLASTERS IN TIN VINTAGE PAISLEY ,16010.59
21258,VICTORIAN SEWING BOX LARGE,15975.63
22424,ENAMEL BREAD BIN CREAM,15964.25
48173C,DOORMAT BLACK FLOCK ,15797.76
22041,"RECORD FRAME 7"" SINGLE SIZE ",15789.12
22837,HOT WATER BOTTLE BABUSHKA ,15758.9
22296,HEART IVORY TRELLIS LARGE,15630.58
21877,HOME SWEET HOME MUG,15564.11
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,15537.289999999999
22662,LUNCH BAG DOLLY GIRL DESIGN,15489.99
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,15454.19
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,15443.210000000001
22690,DOORMAT HOME SWEET HOME BLUE ,15424.51
22502,PICNIC BASKET WICKER SMALL,15398.1
22634,CHILDS BREAKFAST SET SPACEBOY ,15387.9
22383,LUNCH BAG SUKI DESIGN ,15384.05
21843,RETRO SPOT CAKE STAND,15333.199999999999
22652,TRAVEL SEWING KIT,15239.31
20719,WOODLAND CHARLOTTE BAG,15235.59
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,15218.460000000001
84375,SET OF 20 KIDS COOKIE CUTTERS,15209.070000000002
84946,ANTIQUE SILVER T-LIGHT GLASS,15206.42
20750,RED RETROSPOT MINI CASES,15162.05
22635,CHILDS BREAKFAST SET DOLLY GIRL ,15106.35
20685,DOOR MAT RED SPOT,15100.97
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15085.89
21914,BLUE HARMONICA IN BOX ,15078.72
21975,PACK OF 60 DINOSAUR CAKE CASES,14941.21
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,14894.9
21889,WOODEN BOX OF DOMINOES,14877.12
82582,AREA PATROLLED METAL SIGN,14876.000000000002
17003,BROCADE RING PURSE ,14827.71
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,14802.1
22193,RED DINER WALL CLOCK,14765.09
35004C,SET OF 3 COLOURED  FLYING DUCKS,14751.8
21891,TRADITIONAL WOODEN SKIPPING ROPE,14745.53
21484,CHICK GREY HOT WATER BOTTLE,14692.92
85014B,RED RETROSPOT UMBRELLA,14653.320000000002
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.970000000001
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,14624.91
22619,SET OF 6 SOLDIER SKITTLES,14443.3
22487,WHITE WOOD GARDEN PLANT LADDER,14350.66
22759,SET OF 3 NOTEBOOKS IN PARCEL,14333.1
21165,BEWARE OF THE CAT METAL SIGN ,14195.14
22993,SET OF 4 PANTRY JELLY MOULDS,14180.17
84050,PINK HEART SHAPE EGG FRYING PAN,14163.98
22940,FELTCRAFT CHRISTMAS FAIRY,14142.18
84378,SET OF 3 HEART COOKIE CUTTERS,14022.84
21770,OPEN CLOSED METAL SIGN,13951.560000000001
22384,LUNCH BAG PINK RETROSPOT,13923.4
22606,WOODEN SKITTLES GARDEN SET,13850.34
21380,WOODEN HAPPY BIRTHDAY GARLAND,13843.900000000001
48111,DOORMAT 3 SMILEY CATS,13838.97
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,13823.91
84997D,CHILDRENS CUTLERY POLKADOT PINK,13796.6
22295,HEART FILIGREE DOVE LARGE,13717.02
22191,IVORY DINER WALL CLOCK,13577.9
21169,YOU'RE CONFUSING ME METAL SIGN ,13568.710000000001
22730,ALARM CLOCK BAKELIKE IVORY,13566.5
21217,RED SPOTTY ROUND CAKE TINS,13537.85
22271,FELTCRAFT DOLL ROSIE,13496.660000000002
21094,SET/6 RED SPOTTY PAPER PLATES,13455.18
47556B,TEA TIME TEA TOWELS ,13366.3
79323P,PINK CHERRY LIGHTS,13198.1
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,13158.84
22692,DOORMAT WELCOME TO OUR HOME,13120.31
23356,LOVE HOT WATER BOTTLE,13115.4
22236,CAKE STAND 3 TIER MAGIC GARDEN,13108.8
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13100.58
23200,JUMBO BAG PEARS,13043.24
21259,VICTORIAN SEWING BOX SMALL ,13028.36
23313,VINTAGE CHRISTMAS BUNTING,12994.77
23108,SET OF 10 LED DOLLY LIGHTS,12985.23
21390,FILIGRIS HEART WITH BUTTERFLY,12959.14
35970,ZINC FOLKART SLEIGH BELLS,12885.7
22952,60 CAKE CASES VINTAGE CHRISTMAS,12884.57
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12875.59
22655,VINTAGE RED KITCHEN CABINET,12845.0
21704,BAG 250g SWIRLY MARBLES,12838.08
22621,TRADITIONAL KNITTING NANCY,12833.17
15044A,PINK PAPER PARASOL ,12821.48
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12816.58
C2,CARRIAGE,12796.0
22150,3 STRIPEY MICE FELTCRAFT,12775.0
21871,SAVE THE PLANET MUG,12722.380000000001
22946,WOODEN ADVENT CALENDAR CREAM,12707.1
22776,SWEETHEART CAKESTAND 3 TIER,12583.15
48116,DOORMAT MULTICOLOUR STRIPE,12580.97
22766,PHOTO FRAME CORNICE,12566.33
48187,DOOR MAT NEW ENGLAND,12543.42
22355,CHARLOTTE BAG SUKI DESIGN,12531.9
22627,MINT KITCHEN SCALES,12525.99
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12525.56
23301,GARDENERS KNEELING PAD KEEP CALM ,12493.48
48129,DOORMAT TOPIARY,12476.34
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12465.37
62018,SOMBRERO ,12419.65
22553,PLASTERS IN TIN SKULLS,12357.6
22846,BREAD BIN DINER STYLE RED ,12347.56
21217,RED RETROSPOT ROUND CAKE TINS,12341.8
21669,BLUE STRIPE CERAMIC DRAWER KNOB,12338.81
21912,VINTAGE SNAKES & LADDERS,12337.97
22485,SET OF 2 WOODEN MARKET CRATES,12248.25
22303,COFFEE MUG APPLES DESIGN,12213.1
75049L,LARGE CIRCULAR MIRROR MOBILE,12203.5
22654,DELUXE SEWING KIT ,12196.02
20724,RED RETROSPOT CHARLOTTE BAG,12158.9
15056P,EDWARDIAN PARASOL PINK,12141.210000000001
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12107.050000000001
85042,ANTIQUE LILY FAIRY LIGHTS,12085.95
22366,DOORMAT AIRMAIL ,12077.17
21888,BINGO SET,12064.95
23207,LUNCH BAG ALPHABET DESIGN,12029.06
21156,RETROSPOT CHILDRENS APRON,12000.52
21535,RED RETROSPOT SMALL MILK JUG,11969.25
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,11920.3
DOT,DOTCOM POSTAGE,11906.36
21955,DOORMAT UNION JACK GUNS AND ROSES,11889.49
22584,PACK OF 6 PANNETONE GIFT BOXES,11886.130000000001
22464,HANGING METAL HEART LANTERN,11782.15
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,11772.289999999999
22804,CANDLEHOLDER PINK HANGING HEART,11768.5
84212,"ASSORTED FLOWER COLOUR ""LEIS""",11764.32
20723,STRAWBERRY CHARLOTTE BAG,11750.0
79323W, WHITE CHERRY LIGHTS,11697.300000000001
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,11689.26
23077,DOUGHNUT LIP GLOSS ,11640.7
22838,3 TIER CAKE TIN RED AND CREAM,11631.83
21668,RED STRIPE CERAMIC DRAWER KNOB,11582.0
23174,REGENCY SUGAR BOWL GREEN,11575.54
22082,RIBBON REEL STRIPES DESIGN ,11564.43
22207,FRYING PAN UNION FLAG,11523.36
22192,BLUE DINER WALL CLOCK,11511.78
47567B,TEA TIME KITCHEN APRON,11511.720000000001
22750,FELTCRAFT PRINCESS LOLA DOLL,11495.76
22365,DOORMAT RESPECTABLE HOUSE,11468.54
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,11350.130000000001
20969,RED FLORAL FELTCRAFT SHOULDER BAG,11335.41
22623,BOX OF VINTAGE JIGSAW BLOCKS ,11329.42
21080,SET/20 RED SPOTTY PAPER NAPKINS ,11318.71
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,11297.98
22444,GROW YOUR OWN PLANT IN A CAN ,11262.07
21906,PHARMACIE FIRST AID TIN,11235.65
21485,RED SPOT HEART HOT WATER BOTTLE,11222.2
22834,HAND WARMER BABUSHKA DESIGN,11196.53
22667,RECIPE BOX RETROSPOT ,11191.85
22301,COFFEE MUG CAT + BIRD DESIGN,11162.79
22088,PAPER BUNTING COLOURED LACE,11113.45
22151,PLACE SETTING WHITE HEART,11049.33
84987,SET OF 36 TEATIME PAPER DOILIES,11028.83
47599A,PINK PARTY BAGS,11005.28
21260,FIRST AID TIN,10932.35
47591D,PINK FAIRY CAKE CHILDRENS APRON,10921.26
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,10897.05
22631,CIRCUS PARADE LUNCH BOX ,10891.279999999999
21671,RED SPOT CERAMIC DRAWER KNOB,10882.47
22988,SOLDIERS EGG CUP ,10860.22
84988,SET OF 72 PINK HEART PAPER DOILIES,10852.65
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,10844.740000000002
22616,PACK OF 12 LONDON TISSUES ,10809.66
35400,WOODEN BOX ADVENT CALENDAR ,10781.699999999999
22649,STRAWBERRY FAIRY CAKE TEAPOT,10731.4
21121,SET/10 RED POLKADOT PARTY CANDLES,10708.77
22637,PIGGY BANK RETROSPOT ,10708.52
21326,AGED GLASS SILVER T-LIGHT HOLDER,10697.300000000001
22768,FAMILY PHOTO FRAME CORNICE,10668.39
22729,ALARM CLOCK BAKELIKE ORANGE,10637.94
21937,STRAWBERRY   PICNIC BAG,10629.0
22950,36 DOILIES VINTAGE CHRISTMAS,10591.85
21844,RED RETROSPOT MUG,10577.900000000001
22109,FULL ENGLISH BREAKFAST PLATE,10555.89
22417,PACK OF 60 SPACEBOY CAKE CASES,10549.99
21868,POTTING SHED TEA MUG,10545.18
22580,ADVENT CALENDAR GINGHAM SACK,10534.58
22791,T-LIGHT GLASS FLUTED ANTIQUE,10513.34
21907,I'M ON HOLIDAY METAL SIGN,10504.150000000001
21172,PARTY METAL SIGN ,10498.57
22468,BABUSHKA LIGHTS STRING OF 10,10486.14
22508,DOORSTOP RETROSPOT HEART,10456.0
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,10423.199999999999
22274,FELTCRAFT DOLL EMILY,10383.660000000002
48185,DOOR MAT FAIRY CAKE,10377.68
23209,LUNCH BAG VINTAGE DOILY ,10370.76
22488,NATURAL SLATE RECTANGLE CHALKBOARD,10356.56
21210,SET OF 72 RETROSPOT PAPER  DOILIES,10338.07
23209,LUNCH BAG DOILEY PATTERN ,10331.3
22900, SET 2 TEA TOWELS I LOVE LONDON ,10278.800000000001
21833,CAMOUFLAGE LED TORCH,10273.65
22367,CHILDRENS APRON SPACEBOY DESIGN,10252.89
22663,JUMBO BAG DOLLY GIRL DESIGN,10249.81
21429,RED GINGHAM ROSE JEWELLERY BOX,10240.35
22418,10 COLOUR SPACEBOY PEN,10211.3
23170,REGENCY TEA PLATE ROSES ,10190.789999999999
21524,DOOR MAT SPOTTY HOME SWEET HOME,10129.18
20828,GLITTER BUTTERFLY CLIPS,10091.25
21670,BLUE SPOT CERAMIC DRAWER KNOB,10078.48
21624,VINTAGE UNION JACK DOORSTOP,10077.23
22302,COFFEE MUG PEARS  DESIGN,10061.26
23208,LUNCH BAG VINTAGE LEAF DESIGN,10006.45
23300,GARDENERS KNEELING PAD CUP OF TEA ,9963.39
22968,ROSE COTTAGE KEEPSAKE BOX ,9941.55
21982,PACK OF 12 SUKI TISSUES ,9941.4
22620,4 TRADITIONAL SPINNING TOPS,9935.93
48111,DOOR MAT 3 SMILEY CATS,9890.17
22966,GINGERBREAD MAN COOKIE CUTTER,9840.41
16014,SMALL CHINESE STYLE SCISSOR,9838.98
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9831.4
22795,SWEETHEART RECIPE BOOK STAND,9817.25
48194,DOOR MAT HEARTS,9774.98
21257,VICTORIAN SEWING BOX MEDIUM,9765.14
23343,JUMBO BAG VINTAGE CHRISTMAS ,9748.34
22198,LARGE POPCORN HOLDER ,9672.5
21922,UNION STRIPE WITH FRINGE  HAMMOCK,9671.74
23076,ICE CREAM SUNDAE LIP GLOSS,9668.16
21086,SET/6 RED SPOTTY PAPER CUPS,9666.7
22970,LONDON BUS COFFEE MUG,9666.300000000001
84880,WHITE WIRE EGG HOLDER,9629.050000000001
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",9617.27
84997B,CHILDRENS CUTLERY RETROSPOT RED ,9603.68
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,9579.880000000001
22740,POLKADOT PEN,9521.63
22694,WICKER STAR ,9521.1
21756,BATH BUILDING BLOCK WORD,9501.880000000001
21890,S/6 WOODEN SKITTLES IN COTTON BAG,9489.36
84792,ENCHANTED BIRD COATHANGER 5 HOOK,9456.53
22064,PINK DOUGHNUT TRINKET POT ,9450.6
22840,ROUND CAKE TIN VINTAGE RED,9418.33
20829,GLITTER HANGING BUTTERFLY STRING,9409.19
22120,WELCOME  WOODEN BLOCK LETTERS,9398.65
21974,SET OF 36 PAISLEY FLOWER DOILIES,9379.31
48184,DOOR MAT ENGLISH ROSE ,9364.42
22179,SET 10 LIGHTS NIGHT OWL,9363.1
21735,TWO DOOR CURIO CABINET,9350.4
85014A,BLACK/BLUE POLKADOT UMBRELLA,9305.640000000001
85099B,RED RETROSPOT JUMBO BAG ,9291.3
22656,VINTAGE BLUE KITCHEN CABINET,9290.0
22300,COFFEE MUG DOG + BALL DESIGN,9281.49
22942,CHRISTMAS LIGHTS 10 SANTAS ,9278.45
23240,SET OF 4 KNICK KNACK TINS DOILY ,9270.5
22668,PINK BABY BUNTING,9269.31
22904,CALENDAR PAPER CUT DESIGN,9245.990000000002
82552,WASHROOM METAL SIGN,9209.91
22767,TRIPLE PHOTO FRAME CORNICE ,9204.779999999999
23171,REGENCY TEA PLATE GREEN ,9184.9
22978,PANTRY ROLLING PIN,9184.28
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9171.300000000001
21745,GAOLERS KEYS DECORATIVE GARDEN ,9110.65
22380,TOY TIDY SPACEBOY  ,9102.8
22429,ENAMEL MEASURING JUG CREAM,9088.29
51008,AFGHAN SLIPPER SOCK PAIR,9051.6
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,9043.29
22549,PICTURE DOMINOES,9023.99
23175,REGENCY MILK JUG PINK ,9008.0
22131,FOOD CONTAINER SET 3 LOVE HEART ,8976.82
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8969.27
21892,TRADITIONAL WOODEN CATCH CUP GAME ,8959.42
22992,REVOLVER WOODEN RULER ,8950.289999999999
82001S,VINYL RECORD FRAME SILVER,8923.81
22381,TOY TIDY PINK POLKADOT,8919.58
47570B,TEA TIME TABLE CLOTH,8916.78
