stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
22457,NATURAL SLATE HEART CHALKBOARD ,14508,41203.920000000006,1637,874
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14855,40883.57000000001,1144,439
82494L,WOODEN FRAME ANTIQUE WHITE ,14707,40870.82000000001,1773,631
48138,DOORMAT UNION FLAG,6236,40720.3,874,467
21232,STRAWBERRY CERAMIC TRINKET BOX,34726,40675.38,1818,683
20727,LUNCH BAG  BLACK SKULL.,25820,40586.2,1997,705
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,1
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,14024,37966.840000000004,985,400
82482,WOODEN PICTURE FRAME WHITE FINISH,15919,37679.600000000006,1658,601
21166,COOK WITH WINE METAL SIGN ,19833,37387.49,1225,475
20728,LUNCH BAG CARS BLUE,23575,37071.43,1797,702
22629,SPACEBOY LUNCH BOX ,20661,36862.29,1108,456
22114,HOT WATER BOTTLE TEA AND SYMPATHY,9325,36269.270000000004,1298,626
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,151
23284,DOORMAT KEEP CALM AND COME IN,5342,35913.85,648,378
85066,CREAM SWEETHEART MINI CHEST,2997,35889.479999999996,809,471
20713,JUMBO BAG OWLS,19832,35822.62,920,371
48194,DOORMAT HEARTS,5894,35815.2,857,448
23298,SPOTTY BUNTING,7639,35539.25,1003,571
84029E,RED WOOLLY HOTTIE WHITE HEART.,10299,35261.07,956,500
22960,JAM MAKING SET WITH JARS,8702,34851.72,903,583
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7020,33347.8,1146,640
20726,LUNCH BAG WOODLAND,21115,33333.11,1585,585
22197,SMALL POPCORN HOLDER,43970,33329.68,1039,426
20685,DOORMAT RED RETROSPOT,4985,33132.45,758,416
22699,ROSES REGENCY TEACUP AND SAUCER ,12164,33096.0,1056,521
20725,LUNCH BAG RED RETROSPOT,20800,32940.4,1520,605
22188,BLACK HEART CARD HOLDER,12382,32379.54,487,292
21755,LOVE BUILDING BLOCK WORD,5492,32325.16,1485,661
48187,DOORMAT NEW ENGLAND,5249,32221.33,728,389
22727,ALARM CLOCK BAKELIKE RED ,8856,31993.09,1144,473
82486,WOOD S/3 CABINET ANT WHITE FINISH,4072,31557.8,1002,320
22630,DOLLY GIRL LUNCH BOX,17623,31443.489999999998,998,423
85152,HAND OVER THE CHOCOLATE   SIGN ,16404,31138.050000000003,1300,486
22382,LUNCH BAG SPACEBOY DESIGN ,19035,30463.35,1874,774
21523,DOORMAT FANCY FONT HOME SWEET HOME,4930,30453.78,572,271
22385,JUMBO BAG SPACEBOY DESIGN,16545,30096.57,971,412
22622,BOX OF VINTAGE ALPHABET BLOCKS,3119,29731.56,511,346
20712,JUMBO BAG WOODLAND ANIMALS,15929,29504.5,915,387
22865,HAND WARMER OWL DESIGN,14623,29433.430000000004,1058,566
48185,DOORMAT FAIRY CAKE,4786,29323.2,420,219
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4998,29150.02,1053,361
20679,EDWARDIAN PARASOL RED,6134,29140.670000000002,622,271
15036,ASSORTED COLOURS SILK FAN,41078,28829.32,634,303
47590B,PINK HAPPY BIRTHDAY BUNTING,5691,28793.95,810,428
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10538,28548.7,787,357
22379,RECYCLING BAG RETROSPOT ,14507,28377.08,1013,423
22659,LUNCH BOX I LOVE LONDON,16046,28119.82,763,293
22752,SET 7 BABUSHKA NESTING BOXES,3579,28023.09,577,323
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5791,27806.93,1145,652
22666,RECIPE BOX PANTRY YELLOW DESIGN,9807,27804.370000000003,1277,701
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15861,27707.95,721,333
22077,6 RIBBONS RUSTIC CHARM,16284,27457.34,1361,685
20725,LUNCH BAG RED SPOTTY,17514,27331.3,1059,499
22492,MINI PAINT SET VINTAGE ,43621,27120.489999999998,618,356
22467,GUMBALL COAT RACK,11852,27051.530000000002,928,398
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55270,26733.45,1578,767
23245,SET OF 3 REGENCY CAKE TINS,5856,26625.68,718,472
72741,GRAND CHOCOLATECANDLE,19727,26508.95,823,510
23199,JUMBO BAG APPLES,13887,26451.260000000002,718,344
84991,60 TEATIME FAIRY CAKE CASES,53495,26121.57,1765,822
22726,ALARM CLOCK BAKELIKE GREEN,6980,25900.21,1041,404
22866,HAND WARMER SCOTTY DOG DESIGN,12554,25251.36,939,530
22867,HAND WARMER BIRD DESIGN,12458,25071.13,907,521
22624,IVORY KITCHEN SCALES,3014,24946.68,1065,579
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,109169,24905.87,920,482
22149,FELTCRAFT 6 FLOWER FRIENDS,12373,24656.19,1189,684
22386,JUMBO BAG PINK WITH WHITE SPOTS,13777,24472.05,712,358
23355,HOT WATER BOTTLE KEEP CALM,5338,24426.3,719,474
47566B,TEA TIME PARTY BUNTING,5646,24414.3,655,350
85099B,JUMBO BAG RED WHITE SPOTTY ,13890,24345.3,465,321
21485,RETROSPOT HEART HOT WATER BOTTLE,5158,24336.98,815,502
48138,DOOR MAT UNION FLAG,3738,24253.68,637,389
22697,GREEN REGENCY TEACUP AND SAUCER,8745,24191.590000000004,933,475
23201,JUMBO BAG ALPHABET,12540,24175.0,752,396
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20301,24108.77,1224,568
22507,MEMO BOARD RETROSPOT  DESIGN,5436,23985.32,737,445
20971,PINK BLUE FELT CRAFT TRINKET BOX,20859,23975.69,1003,490
47590A,BLUE HAPPY BIRTHDAY BUNTING,4757,23905.670000000002,633,355
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39643,23848.11,1100,524
37503,TEA TIME CAKE STAND IN GIFT BOX,2388,23827.8,465,256
84836,ZINC METAL HEART DECORATION,19715,23815.18,1244,662
22158,3 HEARTS HANGING DECORATION RUSTIC,8439,23768.81,646,374
22551,PLASTERS IN TIN SPACEBOY,14951,23736.149999999998,1156,616
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12622,23534.52,408,325
22197,POPCORN HOLDER,30931,23427.71,632,295
22961,JAM MAKING SET PRINTED,16617,23416.449999999997,903,558
82583,HOT BATHS METAL SIGN,11978,23390.22,820,323
71459,HANGING JAM JAR T-LIGHT HOLDER,29831,23239.43,815,421
21930,JUMBO STORAGE BAG SKULLS,12544,23232.89,997,386
22084,PAPER CHAIN KIT EMPIRE,8482,23182.7,704,464
23173,REGENCY TEAPOT ROSES ,2666,23073.32,354,248
21481,FAWN BLUE HOT WATER BOTTLE,7832,22658.2,834,439
22383,LUNCH BAG SUKI  DESIGN ,14256,22600.4,1073,463
84946,ANTIQUE SILVER TEA GLASS ETCHED,19508,22588.36,789,413
82600,NO SINGING METAL SIGN,11412,22510.56,970,375
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7986,22435.18,1003,442
84978,HANGING HEART JAR T-LIGHT HOLDER,19216,22321.06,1087,525
22835,HOT WATER BOTTLE I AM SO POORLY,4827,22266.63,815,451
21212,PACK OF 72 RETROSPOT CAKE CASES,46107,22214.26,1348,772
21231,SWEETHEART CERAMIC TRINKET BOX,18775,22152.0,1171,500
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4663,22133.829999999998,385,275
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6073,22057.21,758,386
22113,GREY HEART HOT WATER BOTTLE,5909,22032.62,913,488
84406B,CREAM CUPID HEARTS COAT HANGER,6934,21989.9,724,318
22728,ALARM CLOCK BAKELIKE PINK,5979,21917.48,772,357
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,3055,21914.02,544,269
21212,PACK OF 72 RETRO SPOT CAKE CASES,45156,21853.079999999998,1160,632
20749,ASSORTED COLOUR MINI CASES,3060,21830.84,726,426
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8858,21514.48,599,444
22087,PAPER BUNTING WHITE LACE,7806,21495.65,663,314
22556,PLASTERS IN TIN CIRCUS PARADE ,13317,21288.41,1100,591
22090,PAPER BUNTING RETROSPOT,7734,21218.140000000003,658,374
22607,WOODEN ROUNDERS GARDEN SET ,2427,21177.27,643,419
22969,HOMEMADE JAM SCENTED CANDLES,14588,21020.8,577,472
22605,WOODEN CROQUET GARDEN SET,1724,21003.309999999998,548,377
23202,JUMBO BAG VINTAGE LEAF,10716,20963.93,772,377
21314,SMALL GLASS HEART TRINKET POT,10603,20903.86,711,369
22554,PLASTERS IN TIN WOODLAND ANIMALS,13071,20879.23,1097,587
22585,PACK OF 6 BIRDY GIFT TAGS,17551,20854.88,950,612
22090,PAPER BUNTING RETRO SPOTS,7599,20735.050000000003,607,367
23203,JUMBO BAG VINTAGE DOILY ,10636,20674.68,621,363
48184,DOORMAT ENGLISH ROSE ,3204,20628.04,464,268
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5378,20553.7,654,394
20711,JUMBO BAG TOYS ,11469,20532.63,671,326
37449,CERAMIC CAKE STAND + HANGING CAKES,2311,20531.28,410,205
21790,VINTAGE SNAP CARDS,25765,20458.79,1480,793
22698,PINK REGENCY TEACUP AND SAUCER,7447,20444.690000000002,746,400
22617,BAKING SET SPACEBOY DESIGN,4303,20335.11,883,600
22941,CHRISTMAS LIGHTS 10 REINDEER,2568,20279.4,406,315
22294,HEART FILIGREE DOVE  SMALL,16698,20234.1,707,414
21791,VINTAGE HEADS AND TAILS CARD GAME ,17143,20204.53,1050,641
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25767,20113.02,1141,616
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4313,19965.82,692,465
22625,RED KITCHEN SCALES,2455,19926.53,781,440
22570,FELTCRAFT CUSHION RABBIT,5585,19892.66,677,351
22568,FELTCRAFT CUSHION OWL,5511,19848.46,771,389
22083,PAPER CHAIN KIT RETRO SPOT,7354,19813.4,490,324
21524,DOORMAT SPOTTY HOME SWEET HOME,2746,19750.97,636,355
22569,FELTCRAFT CUSHION BUTTERFLY,5554,19586.68,679,360
22273,FELTCRAFT DOLL MOLLY,7253,19480.43,701,423
48188,DOORMAT WELCOME PUPPIES,3362,19301.36,368,220
85150,LADIES & GENTLEMEN METAL SIGN,8224,19220.28,889,369
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2586,19091.7,432,309
22413,METAL SIGN TAKE IT OR LEAVE IT ,6876,19045.920000000002,766,446
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13869,19029.01,1017,541
22501,PICNIC BASKET WICKER LARGE,2070,18943.5,497,346
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17266,18828.98,281,197
22633,HAND WARMER UNION JACK,9340,18807.960000000003,790,473
21622,VINTAGE UNION JACK CUSHION COVER,3563,18723.17,550,329
22384,LUNCH BAG PINK POLKADOT,11621,18565.05,1101,508
21213,PACK OF 72 SKULL CAKE CASES,38927,18517.13,1156,528
84949,SILVER HANGING T-LIGHT HOLDER,11965,18517.05,612,330
21908,CHOCOLATE THIS WAY METAL SIGN,9570,18394.640000000003,801,382
22499,WOODEN UNION JACK BUNTING,3177,18322.68,632,452
21479,WHITE SKULL HOT WATER BOTTLE ,4930,18319.2,738,410
23206,LUNCH BAG APPLE DESIGN,11565,18278.25,866,401
22555,PLASTERS IN TIN STRONGMAN,11397,18240.29,856,514
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1727,18185.06,383,249
22561,WOODEN SCHOOL COLOURING SET,11292,18082.32,838,556
21174,POTTERING IN THE SHED METAL SIGN,9338,17977.82,855,402
22456,NATURAL SLATE CHALKBOARD LARGE ,4048,17795.56,595,385
22147,FELTCRAFT BUTTERFLY HEARTS,12930,17689.3,1026,582
23344,JUMBO BAG 50'S CHRISTMAS ,8954,17679.72,586,391
22427,ENAMEL FLOWER JUG CREAM,3072,17667.58,702,460
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,22134,17616.12,585,344
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15343,17543.0,559,312
22061,LARGE CAKE STAND  HANGING STRAWBERY,2104,17533.95,443,219
21936,RED RETROSPOT PICNIC BAG,6311,17519.01,701,359
22560,TRADITIONAL MODELLING CLAY,14773,17279.14,655,420
21136,PAINTED METAL PEARS ASSORTED,10410,17169.46,714,449
22169,FAMILY ALBUM WHITE PICTURE FRAME,2140,17040.74,570,276
22505,MEMO BOARD COTTAGE DESIGN,3648,16812.74,655,397
22847,BREAD BIN DINER STYLE IVORY,1078,16779.34,435,259
22632,HAND WARMER RED RETROSPOT,8313,16768.02,675,421
23203,JUMBO BAG DOILEY PATTERNS,8737,16741.260000000002,454,299
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2348,16520.64,508,280
21218,RED SPOTTY BISCUIT TIN,4737,16513.95,588,313
84992,72 SWEETHEART FAIRY CAKE CASES,34541,16475.22,1176,614
22297,HEART IVORY TRELLIS SMALL,13182,16140.34,646,391
22083,PAPER CHAIN KIT RETROSPOT,5762,16111.460000000001,585,376
21164,HOME SWEET HOME METAL SIGN ,5912,16103.84,630,356
71053,WHITE METAL LANTERN,4522,16058.44,583,290
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10067,16010.59,991,580
21258,VICTORIAN SEWING BOX LARGE,1369,15975.63,344,186
22424,ENAMEL BREAD BIN CREAM,1328,15964.25,559,310
48173C,DOORMAT BLACK FLOCK ,2837,15797.76,290,166
22041,"RECORD FRAME 7"" SINGLE SIZE ",7162,15789.12,319,101
22837,HOT WATER BOTTLE BABUSHKA ,3522,15758.9,354,210
22296,HEART IVORY TRELLIS LARGE,9666,15630.58,739,428
21877,HOME SWEET HOME MUG,13987,15564.11,650,323
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1671,15537.289999999999,444,301
22662,LUNCH BAG DOLLY GIRL DESIGN,9827,15489.99,872,426
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6505,15454.19,798,353
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16657,15443.210000000001,821,463
22690,DOORMAT HOME SWEET HOME BLUE ,2505,15424.51,401,278
22502,PICNIC BASKET WICKER SMALL,3067,15398.1,566,335
22634,CHILDS BREAKFAST SET SPACEBOY ,1665,15387.9,464,322
22383,LUNCH BAG SUKI DESIGN ,9601,15384.05,899,399
21843,RETRO SPOT CAKE STAND,1456,15333.199999999999,295,207
22652,TRAVEL SEWING KIT,9583,15239.31,716,440
20719,WOODLAND CHARLOTTE BAG,19288,15235.59,1062,365
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4298,15218.460000000001,578,323
84375,SET OF 20 KIDS COOKIE CUTTERS,7585,15209.070000000002,626,389
84946,ANTIQUE SILVER T-LIGHT GLASS,12973,15206.42,534,348
20750,RED RETROSPOT MINI CASES,2103,15162.05,479,307
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1630,15106.35,450,325
20685,DOOR MAT RED SPOT,2427,15100.97,369,245
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4203,15085.89,416,238
21914,BLUE HARMONICA IN BOX ,12159,15078.72,815,446
21975,PACK OF 60 DINOSAUR CAKE CASES,31105,14941.21,1133,543
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2344,14894.9,510,279
21889,WOODEN BOX OF DOMINOES,12193,14877.12,869,595
82582,AREA PATROLLED METAL SIGN,7495,14876.000000000002,696,258
17003,BROCADE RING PURSE ,71129,14827.71,387,215
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3406,14802.1,373,247
22193,RED DINER WALL CLOCK,1803,14765.09,554,265
35004C,SET OF 3 COLOURED  FLYING DUCKS,3100,14751.8,229,112
21891,TRADITIONAL WOODEN SKIPPING ROPE,11833,14745.53,664,483
21484,CHICK GREY HOT WATER BOTTLE,4274,14692.92,676,367
85014B,RED RETROSPOT UMBRELLA,2649,14653.320000000002,421,273
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7757,14632.970000000001,451,232
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4055,14624.91,460,268
22619,SET OF 6 SOLDIER SKITTLES,3901,14443.3,574,419
22487,WHITE WOOD GARDEN PLANT LADDER,1529,14350.66,808,611
22759,SET OF 3 NOTEBOOKS IN PARCEL,8978,14333.1,634,472
21165,BEWARE OF THE CAT METAL SIGN ,9154,14195.14,779,321
22993,SET OF 4 PANTRY JELLY MOULDS,11792,14180.17,866,431
84050,PINK HEART SHAPE EGG FRYING PAN,10206,14163.98,557,308
22940,FELTCRAFT CHRISTMAS FAIRY,3446,14142.18,547,392
84378,SET OF 3 HEART COOKIE CUTTERS,11135,14022.84,944,601
21770,OPEN CLOSED METAL SIGN,2901,13951.560000000001,580,423
22384,LUNCH BAG PINK RETROSPOT,8756,13923.4,730,375
22606,WOODEN SKITTLES GARDEN SET,1030,13850.34,337,269
21380,WOODEN HAPPY BIRTHDAY GARLAND,4902,13843.900000000001,540,325
48111,DOORMAT 3 SMILEY CATS,2329,13838.97,326,173
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3825,13823.91,445,271
84997D,CHILDRENS CUTLERY POLKADOT PINK,3530,13796.6,323,208
22295,HEART FILIGREE DOVE LARGE,8482,13717.02,620,381
22191,IVORY DINER WALL CLOCK,1665,13577.9,475,282
21169,YOU'RE CONFUSING ME METAL SIGN ,8719,13568.710000000001,621,278
22730,ALARM CLOCK BAKELIKE IVORY,3615,13566.5,616,289
21217,RED SPOTTY ROUND CAKE TINS,1423,13537.85,418,277
22271,FELTCRAFT DOLL ROSIE,4836,13496.660000000002,691,400
21094,SET/6 RED SPOTTY PAPER PLATES,18278,13455.18,692,328
47556B,TEA TIME TEA TOWELS ,5142,13366.3,408,209
79323P,PINK CHERRY LIGHTS,2234,13198.1,229,132
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4644,13158.84,714,383
22692,DOORMAT WELCOME TO OUR HOME,1937,13120.31,460,293
23356,LOVE HOT WATER BOTTLE,2352,13115.4,449,316
22236,CAKE STAND 3 TIER MAGIC GARDEN,1088,13108.8,391,251
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1611,13100.58,460,312
23200,JUMBO BAG PEARS,6733,13043.24,470,262
21259,VICTORIAN SEWING BOX SMALL ,2283,13028.36,553,300
23313,VINTAGE CHRISTMAS BUNTING,2755,12994.77,359,254
23108,SET OF 10 LED DOLLY LIGHTS,2194,12985.23,351,271
21390,FILIGRIS HEART WITH BUTTERFLY,10710,12959.14,482,280
35970,ZINC FOLKART SLEIGH BELLS,7898,12885.7,545,415
22952,60 CAKE CASES VINTAGE CHRISTMAS,25775,12884.57,801,520
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,5412,12875.59,645,316
22655,VINTAGE RED KITCHEN CABINET,76,12845.0,52,45
21704,BAG 250g SWIRLY MARBLES,16938,12838.08,464,287
22621,TRADITIONAL KNITTING NANCY,8401,12833.17,719,507
15044A,PINK PAPER PARASOL ,4900,12821.48,194,116
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3516,12816.58,621,383
C2,CARRIAGE,254,12796.0,248,45
22150,3 STRIPEY MICE FELTCRAFT,7104,12775.0,717,445
21871,SAVE THE PLANET MUG,11277,12722.380000000001,600,299
22946,WOODEN ADVENT CALENDAR CREAM,876,12707.1,208,152
22776,SWEETHEART CAKESTAND 3 TIER,1341,12583.15,466,347
48116,DOORMAT MULTICOLOUR STRIPE,2278,12580.97,193,112
22766,PHOTO FRAME CORNICE,4343,12566.33,580,343
48187,DOOR MAT NEW ENGLAND,1956,12543.42,423,253
22355,CHARLOTTE BAG SUKI DESIGN,15736,12531.9,957,344
22627,MINT KITCHEN SCALES,1512,12525.99,558,322
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15872,12525.56,889,578
23301,GARDENERS KNEELING PAD KEEP CALM ,7740,12493.48,756,405
48129,DOORMAT TOPIARY,2066,12476.34,300,183
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10377,12465.37,625,278
62018,SOMBRERO ,9551,12419.65,123,70
22553,PLASTERS IN TIN SKULLS,7632,12357.6,905,507
22846,BREAD BIN DINER STYLE RED ,801,12347.56,309,189
21217,RED RETROSPOT ROUND CAKE TINS,1304,12341.8,350,219
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10073,12338.81,639,262
21912,VINTAGE SNAKES & LADDERS,3435,12337.97,615,447
22485,SET OF 2 WOODEN MARKET CRATES,1003,12248.25,341,280
22303,COFFEE MUG APPLES DESIGN,5323,12213.1,480,266
75049L,LARGE CIRCULAR MIRROR MOBILE,13590,12203.5,230,106
22654,DELUXE SEWING KIT ,2150,12196.02,440,300
20724,RED RETROSPOT CHARLOTTE BAG,15314,12158.9,908,390
15056P,EDWARDIAN PARASOL PINK,2492,12141.210000000001,321,186
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2947,12107.050000000001,283,184
85042,ANTIQUE LILY FAIRY LIGHTS,2669,12085.95,281,142
22366,DOORMAT AIRMAIL ,1961,12077.17,320,200
21888,BINGO SET,3269,12064.95,626,444
23207,LUNCH BAG ALPHABET DESIGN,7554,12029.06,647,377
21156,RETROSPOT CHILDRENS APRON,6682,12000.52,526,335
21535,RED RETROSPOT SMALL MILK JUG,4967,11969.25,713,379
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9673,11920.3,814,490
DOT,DOTCOM POSTAGE,16,11906.36,16,1
21955,DOORMAT UNION JACK GUNS AND ROSES,2099,11889.49,275,169
22584,PACK OF 6 PANNETONE GIFT BOXES,4856,11886.130000000001,498,408
22464,HANGING METAL HEART LANTERN,7541,11782.15,645,397
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,15039,11772.289999999999,890,493
22804,CANDLEHOLDER PINK HANGING HEART,4198,11768.5,521,325
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24672,11764.32,258,140
20723,STRAWBERRY CHARLOTTE BAG,14654,11750.0,988,356
79323W, WHITE CHERRY LIGHTS,1986,11697.300000000001,215,136
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8890,11689.26,697,404
23077,DOUGHNUT LIP GLOSS ,9662,11640.7,308,217
22838,3 TIER CAKE TIN RED AND CREAM,855,11631.83,220,177
21668,RED STRIPE CERAMIC DRAWER KNOB,9496,11582.0,614,255
23174,REGENCY SUGAR BOWL GREEN,2956,11575.54,268,190
22082,RIBBON REEL STRIPES DESIGN ,7119,11564.43,819,512
22207,FRYING PAN UNION FLAG,2920,11523.36,324,189
22192,BLUE DINER WALL CLOCK,1391,11511.78,511,260
47567B,TEA TIME KITCHEN APRON,2160,11511.720000000001,320,179
22750,FELTCRAFT PRINCESS LOLA DOLL,3146,11495.76,597,362
22365,DOORMAT RESPECTABLE HOUSE,1888,11468.54,244,146
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2461,11350.130000000001,286,215
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3138,11335.41,518,285
22623,BOX OF VINTAGE JIGSAW BLOCKS ,2235,11329.42,500,334
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15175,11318.71,781,481
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9390,11297.98,563,263
22444,GROW YOUR OWN PLANT IN A CAN ,9203,11262.07,328,249
21906,PHARMACIE FIRST AID TIN,1663,11235.65,311,214
21485,RED SPOT HEART HOT WATER BOTTLE,2404,11222.2,410,282
22834,HAND WARMER BABUSHKA DESIGN,7105,11196.53,479,297
22667,RECIPE BOX RETROSPOT ,4007,11191.85,645,338
22301,COFFEE MUG CAT + BIRD DESIGN,4863,11162.79,466,273
22088,PAPER BUNTING COLOURED LACE,4047,11113.45,478,266
22151,PLACE SETTING WHITE HEART,27416,11049.33,645,361
84987,SET OF 36 TEATIME PAPER DOILIES,7843,11028.83,642,406
47599A,PINK PARTY BAGS,5956,11005.28,325,202
21260,FIRST AID TIN,3449,10932.35,442,303
47591D,PINK FAIRY CAKE CHILDRENS APRON,5958,10921.26,682,393
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2805,10897.05,363,228
22631,CIRCUS PARADE LUNCH BOX ,5922,10891.279999999999,468,270
21671,RED SPOT CERAMIC DRAWER KNOB,9027,10882.47,568,265
22988,SOLDIERS EGG CUP ,9389,10860.22,349,207
84988,SET OF 72 PINK HEART PAPER DOILIES,7680,10852.65,618,379
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,5712,10844.740000000002,426,208
22616,PACK OF 12 LONDON TISSUES ,38084,10809.66,633,319
35400,WOODEN BOX ADVENT CALENDAR ,1247,10781.699999999999,331,241
22649,STRAWBERRY FAIRY CAKE TEAPOT,2234,10731.4,410,198
