segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
At Risk,20704,MR ROBOT SOFT TOY,22,80.9,6,6
At Risk,20705,MRS ROBOT SOFT TOY,15,64.25,5,5
At Risk,20707,CRAZY DAISY HEART DECORATION,121,151.25,12,11
At Risk,20711,JUMBO BAG TOYS ,744,1333.53,46,28
At Risk,20712,JUMBO BAG WOODLAND ANIMALS,1001,1833.64,60,41
At Risk,20713,JUMBO BAG OWLS,1197,2094.15,61,41
At Risk,20714,POSY SHOPPER BAG,203,79.75,4,3
At Risk,20716,PARTY FOOD SHOPPER BAG,129,161.25,19,17
At Risk,20717,STRAWBERRY SHOPPER BAG,394,492.5,39,32
At Risk,20718,RED RETROSPOT SHOPPER BAG,259,323.75,22,15
At Risk,20718,RED SPOTTY SHOPPER BAG,495,618.75,46,37
At Risk,20719,WOODLAND CHARLOTTE BAG,559,472.55,48,28
At Risk,20723,STRAWBERRY CHARLOTTE BAG,1439,1126.95,80,34
At Risk,20724,RED RETROSPOT CHARLOTTE BAG,621,501.85,35,25
At Risk,20724,RED SPOTTY CHARLOTTE BAG,1378,1088.1,70,38
At Risk,20725,LUNCH BAG RED RETROSPOT,636,1029.4,54,38
At Risk,20725,LUNCH BAG RED SPOTTY,2553,4066.45,188,87
At Risk,20726,LUNCH BAG WOODLAND,3603,5426.95,108,52
At Risk,20727,LUNCH BAG  BLACK SKULL.,4359,6547.95,173,86
At Risk,20728,LUNCH BAG CARS BLUE,3712,5604.8,127,71
At Risk,20729,RED SPOTTY CANDY BAG,4231,668.75,5,5
At Risk,20730,STRAWBERRY CANDY BAG,1422,237.5,4,4
At Risk,20731,POSY CANDY BAG,2811,456.75,4,4
At Risk,20733,GOLD MINI TAPE MEASURE ,78,57.7,9,8
At Risk,20734,SILVER MINI TAPE MEASURE ,49,41.65,6,6
At Risk,20735,BLACK MINI TAPE MEASURE ,29,16.05,6,5
At Risk,20736,PINK MINI TAPE MEASURE ,1,0.85,1,1
At Risk,20738,GREEN MINI TAPE MEASURE ,57,48.45,7,6
At Risk,20747,PICCADILLY TEA SET,46,608.5,7,7
At Risk,20748,KENSINGTON COFFEE SET,77,632.55,13,10
At Risk,20749,ASSORTED COLOUR MINI CASES,171,1301.85,53,43
At Risk,20750, RED/WHITE DOT MINI CASES,36,286.2,15,14
At Risk,20750,RED RETROSPOT MINI CASES,91,685.05,28,25
At Risk,20750,RED/WHITE DOT MINI CASES,106,794.7,41,34
At Risk,20751,FUNKY WASHING UP GLOVES ASSORTED,190,399.00000000000006,34,29
At Risk,20752,BLUE POLKADOT WASHING UP GLOVES,8,16.8,4,3
At Risk,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,87,137.7,13,11
At Risk,20753,RETRO PINK SPOT WASHING UP GLOVES,13,25.7,4,3
At Risk,20754,RETRO RED SPOTTY WASHING UP GLOVES,235,493.5,56,37
At Risk,20754,RETROSPOT RED WASHING UP GLOVES,58,121.8,19,16
At Risk,20755,BLUE PAISLEY POCKET BOOK,4352,459.2,6,5
At Risk,20756,GREEN FERN POCKET BOOK,5288,534.8,4,4
At Risk,20757,RED DAISY POCKET BOOK ,5060,650.6,6,6
At Risk,20758,ABSTRACT CIRCLES POCKET BOOK,4806,485.1,3,2
At Risk,20759,CHRYSANTHEMUM POCKET BOOK ,5282,529.7,2,2
At Risk,20760,GARDEN PATH POCKET BOOK,4335,444.75,4,4
At Risk,20761,BLUE PAISLEY SKETCHBOOK,72,226.8,16,14
At Risk,20762,GREEN FERN SKETCHBOOK ,37,92.35,12,11
At Risk,20763,DAISY SKETCHBOOK ,108,209.4,9,9
At Risk,20764,ABSTRACT CIRCLES SKETCHBOOK ,45,157.55,17,14
At Risk,20765,CHRYSANTHEMUM SKETCHBOOK ,37,95.55,10,10
At Risk,20766,GARDEN PATH SKETCHBOOK,52,147.0,13,12
At Risk,20767,BLUE PAISLEY JOURNAL ,66,168.3,19,14
At Risk,20768,GREEN FERN JOURNAL ,82,145.2,12,11
At Risk,20769,DAISY JOURNAL ,61,108.75000000000001,4,4
At Risk,20770,ABSTRACT CIRCLE JOURNAL ,83,208.95,18,15
At Risk,20771,CHRYSANTHEMUM  JOURNAL,65,163.05,13,12
At Risk,20772,GARDEN PATH JOURNAL,104,170.70000000000002,14,13
At Risk,20773,BLUE PAISLEY NOTEBOOK,3078,518.7,11,8
At Risk,20774,GREEN FERN NOTEBOOK,3220,513.0,7,6
At Risk,20775,DAISY NOTEBOOK ,3366,513.9,2,2
At Risk,20776,ABSTRACT CIRCLES NOTEBOOK,3055,480.75,6,6
At Risk,20777,CHRYSANTHEMUM NOTEBOOK,3212,499.8,6,6
At Risk,20778,GARDEN PATH NOTEBOOK ,3381,538.65,7,7
At Risk,20780,BLACK EAR MUFF HEADPHONES,5,27.450000000000003,3,3
At Risk,20781,GOLD EAR MUFF HEADPHONES,6,32.94,4,4
At Risk,20782,CAMOUFLAGE EAR MUFF HEADPHONES,9,49.41,4,4
At Risk,20783,HEART EAR MUFF HEADPHONES,14,76.86,6,5
At Risk,20785,FUSCHIA RETRO BAR STOOL,14,511.29999999999995,2,2
At Risk,20786,BLACK RETRO BAR STOOL,12,431.4,1,1
At Risk,20787,BLUE RETRO BAR STOOL,2,79.9,1,1
At Risk,20791,BLUE TILED SET OF 3 DRAWERS,5,63.75,1,1
At Risk,20793,BLUE TILED TRAY,2,13.5,1,1
At Risk,20794,BLUE  TILE HOOK,14,35.699999999999996,3,2
At Risk,20795,LARGE BLUE PROVENCAL CERAMIC BALL,2,4.2,2,2
At Risk,20798,CLEAR MILKSHAKE GLASS,40,84.0,4,3
At Risk,20799,PINK MILKSHAKE GLASS,12,25.2,2,1
At Risk,20800,LARGE GLASS SUNDAE DISH CLEAR,992,248.0,1,1
At Risk,20801,LARGE PINK GLASS SUNDAE DISH,32,25.28,2,2
At Risk,20802,SMALL GLASS SUNDAE DISH CLEAR,42,69.3,2,1
At Risk,20803,SMALL PINK GLASS SUNDAE DISH,48,26.28,3,3
At Risk,20804,GLASS CHICKEN BUTTER DISH,37,61.05,6,6
At Risk,20816,GOLD FLOWER CUSHION COVER ,7,47.25,2,1
At Risk,20818,GOLD TEDDY BEAR,6,22.5,3,3
At Risk,20819,SILVER TEDDY BEAR,2,7.5,2,2
At Risk,20820,SILVER LOOKING MIRROR,1,4.95,1,1
At Risk,20821,GOLDIE LOOKING MIRROR,2,9.9,2,2
At Risk,20823,GOLD WINE GOBLET,72,222.96,2,2
At Risk,20825,GOLD WINE GLASS,48,162.72,1,1
At Risk,20826,SILVER APERITIF GLASS,48,101.76,1,1
At Risk,20827,GOLD APERITIF GLASS,48,101.76,1,1
At Risk,20828,GLITTER BUTTERFLY CLIPS,363,904.05,54,39
At Risk,20829,GLITTER HANGING BUTTERFLY STRING,372,781.2,45,32
At Risk,20830,SILVER PHOTO FRAME,40,84.0,7,6
At Risk,20831,GOLD PHOTO FRAME,17,35.7,5,4
At Risk,20832,RED FLOCK LOVE HEART PHOTO FRAME,49,41.65,6,6
At Risk,20836,FRENCH PAISLEY CUSHION COVER,12,35.400000000000006,1,1
At Risk,20837,FRENCH FLORAL CUSHION COVER ,12,9.96,1,1
At Risk,20838,FRENCH LATTICE CUSHION COVER ,12,35.400000000000006,2,2
At Risk,20840,FRENCH FLORAL CUSHION COVER ,18,27.900000000000002,2,2
At Risk,20845,ZINC HEART LATTICE 2 WALL PLANTER,2,12.7,1,1
At Risk,20846,ZINC HEART LATTICE T-LIGHT HOLDER,93,116.25,13,12
At Risk,20849,ZINC HEART LATTICE DOUBLE PLANTER,582,310.5,4,4
At Risk,20850,ZINC HEART LATTICE PLANTER BOWL,743,486.65,7,6
At Risk,20851,ZINC HEART LATTICE TRAY OVAL ,288,144.0,1,1
At Risk,20854,BLUE PATCH PURSE PINK HEART,46,75.9,14,10
At Risk,20855,PINK PATCH PURSE BLUE HEART,8,13.2,5,4
At Risk,20856,DENIM PATCH PURSE PINK BUTTERFLY,38,62.7,12,11
At Risk,20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,23,37.95,10,9
At Risk,20860,GOLD COSMETICS BAG WITH BUTTERFLY,2,4.2,2,2
At Risk,20861,GOLD COSMETIC BAG PINK STAR,9,18.900000000000002,3,3
At Risk,20862,PINK PATCH PENCIL CASE BLUE HEART,193,394.23,7,4
At Risk,20863,BLUE PATCH PENCIL CASE PINK HEART,197,380.49,10,7
At Risk,20864,DENIM PATCH PENCIL CASE BUTTERFLY,184,351.03000000000003,6,3
At Risk,20865,PATCHWORK PENCIL CASE BUTTERFLY ,184,353.19,7,4
At Risk,20866,BLUE ROSE FABRIC MIRROR,80,100.0,10,10
At Risk,20867,PINK ROSE FABRIC MIRROR,87,108.75,9,9
At Risk,20868,SILVER FABRIC MIRROR,7,8.75,4,3
At Risk,20869,GOLD FABRIC MIRROR,12,15.0,1,1
At Risk,20870,OPULENT VELVET CANDLE IN BOX,1,2.1,1,1
At Risk,20871,OPULENT VELVET SET/3 CANDLES,204,285.6,11,10
At Risk,20877,MODERN CHRISTMAS BAUBLE CANDLE ,3,1.26,1,1
At Risk,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,109,136.25,13,12
At Risk,20879,TREE OF NOAH FESTIVE SCENTED CANDLE,6,3.9,1,1
At Risk,20881,MODERN CHRISTMAS TREE CANDLE,2,1.7,1,1
At Risk,20884,MODERN CHRISTMAS TREE CANDLE ,1,2.1,1,1
At Risk,20886,BOX OF 9 PEBBLE CANDLES,221,399.45,26,19
At Risk,20888,SET 3 JARDIN DE FEMME SCENT CANDLES,4,13.56,1,1
At Risk,20889,JARDIN DE FEMME SCENTED CANDLE,417,148.95000000000002,3,3
At Risk,20892,SET/3 TALL GLASS CANDLE HOLDER PINK,11,117.85,3,3
At Risk,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,51,113.85000000000002,3,3
At Risk,20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,9,26.550000000000004,4,4
At Risk,20896,VINTAGE NOTEBOOK PINK FLOWER,1,2.95,1,1
At Risk,20897,VINTAGE NOTEBOOK PARIS DAYS,24,70.80000000000001,3,3
At Risk,20898,VINTAGE NOTEBOOK TRAVELOGUE,9,26.550000000000004,2,2
At Risk,20901,VINTAGE KEEPSAKE BOX PINK FLOWER,5,31.75,3,3
At Risk,20902,VINTAGE KEEPSAKE BOX PARIS DAYS,4,25.4,2,2
At Risk,20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,8,50.8,3,3
At Risk,20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,4,25.4,1,1
At Risk,20906,VINTAGE NOTEBOOK BEAUTY GIRL,14,41.300000000000004,3,3
At Risk,20910,VINTAGE PHOTO ALBUM PARIS DAYS,2,12.7,1,1
At Risk,20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,18,53.10000000000001,7,6
At Risk,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,435,1198.05,48,31
At Risk,20914,SET/5 RED SPOTTY LID GLASS BOWLS,2104,5617.2,144,71
At Risk,20931,BLUE POT PLANT CANDLE ,34,121.1,13,12
At Risk,20932,PINK POT PLANT CANDLE,20,75.0,6,6
At Risk,20933,YELLOW POT PLANT CANDLE,41,128.15,6,5
At Risk,20934,SET/3 POT PLANT CANDLES,30,154.5,7,7
At Risk,20935,ROUND CACTUS CANDLE,21,59.550000000000004,5,4
At Risk,20936,FORKED CACTUS CANDLE,32,89.60000000000001,7,5
At Risk,20939,ORANGE CANDLE,12,10.2,1,1
At Risk,20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,11,32.45,3,2
At Risk,20941,FROG CANDLE,140,112.36,13,11
